GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US36001013300,36001013300,"Census Tract 133, Albany County, New York",1990,156,785,138,1205,173
1400000US36001013400,36001013400,"Census Tract 134, Albany County, New York",1005,111,445,92,560,117
1400000US36001013503,36001013503,"Census Tract 135.03, Albany County, New York",1980,93,1180,102,800,136
1400000US36001013505,36001013505,"Census Tract 135.05, Albany County, New York",886,71,726,76,160,66
1400000US36001013506,36001013506,"Census Tract 135.06, Albany County, New York",2677,117,1685,168,992,162
1400000US36001013507,36001013507,"Census Tract 135.07, Albany County, New York",971,65,604,69,367,62
1400000US36001013508,36001013508,"Census Tract 135.08, Albany County, New York",2499,96,2086,135,413,120
1400000US36001013601,36001013601,"Census Tract 136.01, Albany County, New York",3333,149,1933,167,1400,177
1400000US36001013602,36001013602,"Census Tract 136.02, Albany County, New York",1764,151,573,108,1191,149
1400000US36001013703,36001013703,"Census Tract 137.03, Albany County, New York",578,37,499,47,79,36
1400000US36001013705,36001013705,"Census Tract 137.05, Albany County, New York",2776,120,2082,204,694,175
1400000US36001013706,36001013706,"Census Tract 137.06, Albany County, New York",758,38,706,42,52,26
1400000US36001013707,36001013707,"Census Tract 137.07, Albany County, New York",2412,119,2011,167,401,131
1400000US36001013801,36001013801,"Census Tract 138.01, Albany County, New York",3007,165,2260,171,747,169
1400000US36001013802,36001013802,"Census Tract 138.02, Albany County, New York",1450,83,1420,87,30,24
1400000US36001013901,36001013901,"Census Tract 139.01, Albany County, New York",937,52,816,65,121,49
1400000US36001013902,36001013902,"Census Tract 139.02, Albany County, New York",2175,128,1562,163,613,145
1400000US36001014001,36001014001,"Census Tract 140.01, Albany County, New York",1881,128,966,113,915,122
1400000US36001014002,36001014002,"Census Tract 140.02, Albany County, New York",1769,122,1167,81,602,121
1400000US36001014100,36001014100,"Census Tract 141, Albany County, New York",2223,123,1667,126,556,141
1400000US36001014201,36001014201,"Census Tract 142.01, Albany County, New York",2139,112,1500,157,639,147
1400000US36001014202,36001014202,"Census Tract 142.02, Albany County, New York",2482,107,1695,169,787,187
1400000US36001014203,36001014203,"Census Tract 142.03, Albany County, New York",2577,88,2116,134,461,117
1400000US36001014301,36001014301,"Census Tract 143.01, Albany County, New York",1127,60,789,74,338,80
1400000US36001014302,36001014302,"Census Tract 143.02, Albany County, New York",3002,121,2646,179,356,150
1400000US36001014401,36001014401,"Census Tract 144.01, Albany County, New York",1667,97,1309,114,358,111
1400000US36001014402,36001014402,"Census Tract 144.02, Albany County, New York",1399,95,781,99,618,119
1400000US36001014501,36001014501,"Census Tract 145.01, Albany County, New York",949,52,777,57,172,58
1400000US36001014502,36001014502,"Census Tract 145.02, Albany County, New York",1300,84,1203,82,97,46
1400000US36001014503,36001014503,"Census Tract 145.03, Albany County, New York",1111,67,911,68,200,47
1400000US36001014606,36001014606,"Census Tract 146.06, Albany County, New York",1393,85,1246,78,147,58
1400000US36001014607,36001014607,"Census Tract 146.07, Albany County, New York",3079,110,2411,148,668,174
1400000US36001014608,36001014608,"Census Tract 146.08, Albany County, New York",1187,69,868,71,319,92
1400000US36001014609,36001014609,"Census Tract 146.09, Albany County, New York",2370,140,1302,137,1068,167
1400000US36001014611,36001014611,"Census Tract 146.11, Albany County, New York",830,32,605,44,225,42
1400000US36001014612,36001014612,"Census Tract 146.12, Albany County, New York",684,37,506,40,178,40
1400000US36001014613,36001014613,"Census Tract 146.13, Albany County, New York",1168,79,909,101,259,109
1400000US36001014614,36001014614,"Census Tract 146.14, Albany County, New York",2396,113,1417,119,979,155
1400000US36001014615,36001014615,"Census Tract 146.15, Albany County, New York",1211,95,235,62,976,107
1400000US36001014700,36001014700,"Census Tract 147, Albany County, New York",986,77,845,81,141,58
1400000US36001014801,36001014801,"Census Tract 148.01, Albany County, New York",1158,62,1064,61,94,40
1400000US36001014802,36001014802,"Census Tract 148.02, Albany County, New York",727,57,674,55,53,28
1400000US36001014803,36001014803,"Census Tract 148.03, Albany County, New York",1351,100,1263,108,88,62
1400000US36003940200,36003940200,"Census Tract 9402, Allegany County, New York",7,10,0,11,7,10
1400000US36003950100,36003950100,"Census Tract 9501, Allegany County, New York",1071,77,899,81,172,68
1400000US36003950300,36003950300,"Census Tract 9503, Allegany County, New York",1515,85,1088,87,427,75
1400000US36003950400,36003950400,"Census Tract 9504, Allegany County, New York",1492,100,1217,95,275,71
1400000US36003950500,36003950500,"Census Tract 9505, Allegany County, New York",1517,109,1179,96,338,67
1400000US36003950600,36003950600,"Census Tract 9506, Allegany County, New York",1564,82,1069,103,495,94
1400000US36003950700,36003950700,"Census Tract 9507, Allegany County, New York",1642,127,1024,108,618,105
1400000US36003950800,36003950800,"Census Tract 9508, Allegany County, New York",1218,138,742,71,476,95
1400000US36003950900,36003950900,"Census Tract 9509, Allegany County, New York",1643,92,1270,102,373,69
1400000US36003951000,36003951000,"Census Tract 9510, Allegany County, New York",1283,89,1036,72,247,71
1400000US36003951100,36003951100,"Census Tract 9511, Allegany County, New York",1594,106,1048,105,546,115
1400000US36003951200,36003951200,"Census Tract 9512, Allegany County, New York",1946,90,1536,87,410,74
1400000US36003951300,36003951300,"Census Tract 9513, Allegany County, New York",1540,87,1226,92,314,56
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,16,0,16,0,16
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1331,96,714,115,617,128
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1926,88,1419,154,507,135
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1970,73,305,101,1665,100
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",962,47,88,33,874,54
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",3008,136,511,174,2497,182
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1960,72,15,17,1945,76
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",26,38,0,11,26,38
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1817,102,72,44,1745,110
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1076,36,0,11,1076,36
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1436,62,73,44,1363,81
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2391,77,396,146,1995,161
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",559,32,130,51,429,55
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1183,75,125,55,1058,91
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1347,57,96,66,1251,87
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",145,46,0,11,145,46
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",384,36,101,39,283,45
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",1913,141,105,60,1808,135
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",506,36,253,58,253,55
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",2054,106,158,84,1896,125
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",2748,74,272,130,2476,142
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",2044,77,203,77,1841,102
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",1635,64,115,69,1520,72
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",698,31,173,55,525,61
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",1328,62,96,48,1232,82
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",1602,54,230,69,1372,84
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",1860,111,64,43,1796,121
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",1984,67,0,16,1984,67
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",832,25,37,22,795,32
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",1485,74,0,11,1485,74
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",1747,103,289,81,1458,117
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",908,47,129,34,779,58
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",1075,64,211,71,864,94
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",340,31,17,15,323,31
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",2175,153,1219,193,956,199
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",2402,114,77,61,2325,137
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",1839,101,141,63,1698,105
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",1284,101,187,97,1097,130
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",1927,64,32,26,1895,68
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",2322,139,115,74,2207,166
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",992,64,252,71,740,87
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",2633,128,168,97,2465,163
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",1361,80,280,103,1081,125
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",946,43,361,62,585,65
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",1704,80,408,106,1296,122
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",1322,88,19,15,1303,91
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",1383,67,524,94,859,98
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",2221,111,276,84,1945,135
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",1596,84,320,74,1276,106
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",629,28,154,48,475,53
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",1999,138,373,126,1626,200
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",2293,131,51,55,2242,147
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",2120,90,204,69,1916,105
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",719,37,460,65,259,70
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",1906,76,156,58,1750,90
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",1449,45,171,57,1278,79
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",1950,76,35,26,1915,79
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",1160,70,67,45,1093,78
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",1183,64,305,84,878,103
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",1805,71,405,84,1400,105
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",1665,108,134,52,1531,105
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",747,47,247,59,500,66
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",1755,80,746,139,1009,132
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",56,37,0,11,56,37
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",1315,91,95,61,1220,103
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",562,46,17,15,545,47
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",1490,89,1090,116,400,109
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",1860,109,96,55,1764,116
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",875,63,154,45,721,70
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",511,35,0,11,511,35
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",1466,100,133,68,1333,106
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",1398,64,226,92,1172,114
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",739,60,111,40,628,63
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",1437,78,59,53,1378,94
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",483,19,272,54,211,57
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",1627,90,197,75,1430,99
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",2453,106,1619,245,834,254
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",2250,161,142,97,2108,166
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",1339,73,124,49,1215,85
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",1161,82,777,98,384,91
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",2073,86,111,42,1962,91
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",475,40,31,23,444,43
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",2170,103,314,104,1856,153
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",2273,87,63,44,2210,96
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",1996,63,5,12,1991,66
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",1645,42,0,16,1645,42
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",1463,100,126,66,1337,118
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",1731,101,227,83,1504,121
1400000US36005015200,36005015200,"Census Tract 152, Bronx County, New York",890,49,581,73,309,62
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",1577,91,248,82,1329,112
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",1112,30,64,42,1048,43
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",1302,88,192,82,1110,106
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",400,49,241,50,159,47
1400000US36005015900,36005015900,"Census Tract 159, Bronx County, New York",633,58,26,22,607,57
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",1540,82,769,127,771,148
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",1736,88,20,24,1716,90
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",557,41,307,62,250,68
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",0,11,0,11,0,11
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",416,34,267,39,149,45
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",354,35,20,20,334,37
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",762,63,525,84,237,74
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",923,56,42,28,881,54
1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",480,28,73,35,407,42
1400000US36005017100,36005017100,"Census Tract 171, Bronx County, New York",0,11,0,11,0,11
1400000US36005017300,36005017300,"Census Tract 173, Bronx County, New York",2000,123,84,67,1916,155
1400000US36005017500,36005017500,"Census Tract 175, Bronx County, New York",2576,124,35,56,2541,134
1400000US36005017701,36005017701,"Census Tract 177.01, Bronx County, New York",1194,103,105,71,1089,132
1400000US36005017702,36005017702,"Census Tract 177.02, Bronx County, New York",1643,97,203,80,1440,123
1400000US36005017901,36005017901,"Census Tract 179.01, Bronx County, New York",1725,68,191,53,1534,86
1400000US36005017902,36005017902,"Census Tract 179.02, Bronx County, New York",1118,58,0,11,1118,58
1400000US36005018101,36005018101,"Census Tract 181.01, Bronx County, New York",1010,66,90,54,920,82
1400000US36005018102,36005018102,"Census Tract 181.02, Bronx County, New York",1586,78,27,21,1559,82
1400000US36005018301,36005018301,"Census Tract 183.01, Bronx County, New York",1968,60,271,77,1697,92
1400000US36005018302,36005018302,"Census Tract 183.02, Bronx County, New York",1273,76,52,33,1221,83
1400000US36005018400,36005018400,"Census Tract 184, Bronx County, New York",1421,83,641,107,780,121
1400000US36005018500,36005018500,"Census Tract 185, Bronx County, New York",2607,132,2,13,2605,136
1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",2895,104,155,89,2740,132
1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",2054,106,0,16,2054,106
1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",730,42,227,62,503,66
1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",2772,92,130,76,2642,118
1400000US36005019700,36005019700,"Census Tract 197, Bronx County, New York",2231,82,18,28,2213,84
1400000US36005019900,36005019900,"Census Tract 199, Bronx County, New York",2760,115,187,90,2573,127
1400000US36005020000,36005020000,"Census Tract 200, Bronx County, New York",1489,89,155,58,1334,97
1400000US36005020100,36005020100,"Census Tract 201, Bronx County, New York",1308,59,33,31,1275,57
1400000US36005020200,36005020200,"Census Tract 202, Bronx County, New York",851,42,70,27,781,52
1400000US36005020400,36005020400,"Census Tract 204, Bronx County, New York",1034,84,193,79,841,101
1400000US36005020501,36005020501,"Census Tract 205.01, Bronx County, New York",2764,97,86,62,2678,111
1400000US36005020502,36005020502,"Census Tract 205.02, Bronx County, New York",864,57,70,30,794,64
1400000US36005020601,36005020601,"Census Tract 206.01, Bronx County, New York",882,58,291,78,591,85
1400000US36005020900,36005020900,"Census Tract 209, Bronx County, New York",1561,84,0,11,1561,84
1400000US36005021001,36005021001,"Census Tract 210.01, Bronx County, New York",3843,187,1147,266,2696,312
1400000US36005021002,36005021002,"Census Tract 210.02, Bronx County, New York",3112,91,502,159,2610,177
1400000US36005021100,36005021100,"Census Tract 211, Bronx County, New York",1793,100,94,44,1699,107
1400000US36005021200,36005021200,"Census Tract 212, Bronx County, New York",2152,125,647,144,1505,182
1400000US36005021301,36005021301,"Census Tract 213.01, Bronx County, New York",458,26,53,24,405,30
1400000US36005021302,36005021302,"Census Tract 213.02, Bronx County, New York",2035,87,60,56,1975,104
1400000US36005021501,36005021501,"Census Tract 215.01, Bronx County, New York",1379,53,17,26,1362,58
1400000US36005021502,36005021502,"Census Tract 215.02, Bronx County, New York",2148,52,58,50,2090,67
1400000US36005021601,36005021601,"Census Tract 216.01, Bronx County, New York",1602,68,281,79,1321,104
1400000US36005021602,36005021602,"Census Tract 216.02, Bronx County, New York",2432,97,326,127,2106,159
1400000US36005021700,36005021700,"Census Tract 217, Bronx County, New York",1701,84,23,20,1678,85
1400000US36005021800,36005021800,"Census Tract 218, Bronx County, New York",2326,131,535,163,1791,215
1400000US36005021900,36005021900,"Census Tract 219, Bronx County, New York",397,29,7,10,390,32
1400000US36005022000,36005022000,"Census Tract 220, Bronx County, New York",491,36,21,20,470,40
1400000US36005022101,36005022101,"Census Tract 221.01, Bronx County, New York",1198,69,0,11,1198,69
1400000US36005022102,36005022102,"Census Tract 221.02, Bronx County, New York",1660,89,30,26,1630,86
1400000US36005022200,36005022200,"Census Tract 222, Bronx County, New York",1150,58,153,49,997,71
1400000US36005022300,36005022300,"Census Tract 223, Bronx County, New York",1834,41,0,16,1834,41
1400000US36005022401,36005022401,"Census Tract 224.01, Bronx County, New York",1136,43,183,67,953,71
1400000US36005022403,36005022403,"Census Tract 224.03, Bronx County, New York",1327,60,141,51,1186,82
1400000US36005022404,36005022404,"Census Tract 224.04, Bronx County, New York",1789,55,317,89,1472,88
1400000US36005022500,36005022500,"Census Tract 225, Bronx County, New York",2362,94,70,50,2292,106
1400000US36005022701,36005022701,"Census Tract 227.01, Bronx County, New York",1846,53,74,56,1772,78
1400000US36005022702,36005022702,"Census Tract 227.02, Bronx County, New York",614,33,12,14,602,36
1400000US36005022703,36005022703,"Census Tract 227.03, Bronx County, New York",596,33,11,17,585,34
1400000US36005022800,36005022800,"Census Tract 228, Bronx County, New York",2382,124,245,110,2137,149
1400000US36005022901,36005022901,"Census Tract 229.01, Bronx County, New York",1804,89,28,34,1776,93
1400000US36005022902,36005022902,"Census Tract 229.02, Bronx County, New York",1083,74,90,61,993,95
1400000US36005023000,36005023000,"Census Tract 230, Bronx County, New York",953,58,214,58,739,77
1400000US36005023100,36005023100,"Census Tract 231, Bronx County, New York",462,18,15,13,447,23
1400000US36005023200,36005023200,"Census Tract 232, Bronx County, New York",831,45,264,45,567,58
1400000US36005023301,36005023301,"Census Tract 233.01, Bronx County, New York",1541,65,32,37,1509,64
1400000US36005023302,36005023302,"Census Tract 233.02, Bronx County, New York",971,45,3,7,968,45
1400000US36005023501,36005023501,"Census Tract 235.01, Bronx County, New York",1112,52,0,11,1112,52
1400000US36005023502,36005023502,"Census Tract 235.02, Bronx County, New York",1671,61,63,44,1608,68
1400000US36005023600,36005023600,"Census Tract 236, Bronx County, New York",630,41,89,43,541,55
1400000US36005023702,36005023702,"Census Tract 237.02, Bronx County, New York",337,37,7,10,330,39
1400000US36005023703,36005023703,"Census Tract 237.03, Bronx County, New York",1479,76,16,19,1463,82
1400000US36005023704,36005023704,"Census Tract 237.04, Bronx County, New York",1401,47,8,12,1393,49
1400000US36005023800,36005023800,"Census Tract 238, Bronx County, New York",819,61,206,54,613,76
1400000US36005023900,36005023900,"Census Tract 239, Bronx County, New York",2602,101,42,38,2560,97
1400000US36005024000,36005024000,"Census Tract 240, Bronx County, New York",1159,84,256,88,903,116
1400000US36005024100,36005024100,"Census Tract 241, Bronx County, New York",1788,98,55,46,1733,103
1400000US36005024300,36005024300,"Census Tract 243, Bronx County, New York",1947,74,96,59,1851,101
1400000US36005024400,36005024400,"Census Tract 244, Bronx County, New York",791,46,290,50,501,61
1400000US36005024501,36005024501,"Census Tract 245.01, Bronx County, New York",1566,57,61,43,1505,72
1400000US36005024502,36005024502,"Census Tract 245.02, Bronx County, New York",1178,59,69,45,1109,75
1400000US36005024600,36005024600,"Census Tract 246, Bronx County, New York",742,41,419,80,323,85
1400000US36005024700,36005024700,"Census Tract 247, Bronx County, New York",752,27,20,15,732,32
1400000US36005024800,36005024800,"Census Tract 248, Bronx County, New York",1147,67,317,85,830,91
1400000US36005024900,36005024900,"Census Tract 249, Bronx County, New York",0,11,0,11,0,11
1400000US36005025000,36005025000,"Census Tract 250, Bronx County, New York",984,50,468,101,516,116
1400000US36005025100,36005025100,"Census Tract 251, Bronx County, New York",2157,108,203,108,1954,126
1400000US36005025200,36005025200,"Census Tract 252, Bronx County, New York",897,49,384,70,513,77
1400000US36005025300,36005025300,"Census Tract 253, Bronx County, New York",1946,92,108,47,1838,111
1400000US36005025400,36005025400,"Census Tract 254, Bronx County, New York",751,53,321,54,430,60
1400000US36005025500,36005025500,"Census Tract 255, Bronx County, New York",2283,90,62,68,2221,108
1400000US36005025600,36005025600,"Census Tract 256, Bronx County, New York",641,47,211,61,430,69
1400000US36005025700,36005025700,"Census Tract 257, Bronx County, New York",673,43,31,34,642,50
1400000US36005026100,36005026100,"Census Tract 261, Bronx County, New York",991,48,742,78,249,82
1400000US36005026300,36005026300,"Census Tract 263, Bronx County, New York",2171,173,89,54,2082,177
1400000US36005026400,36005026400,"Census Tract 264, Bronx County, New York",1998,150,865,199,1133,239
1400000US36005026500,36005026500,"Census Tract 265, Bronx County, New York",2098,107,42,56,2056,118
1400000US36005026601,36005026601,"Census Tract 266.01, Bronx County, New York",1362,55,294,85,1068,106
1400000US36005026602,36005026602,"Census Tract 266.02, Bronx County, New York",2456,146,552,147,1904,197
1400000US36005026701,36005026701,"Census Tract 267.01, Bronx County, New York",1280,80,11,18,1269,83
1400000US36005026702,36005026702,"Census Tract 267.02, Bronx County, New York",2550,82,271,101,2279,120
1400000US36005026900,36005026900,"Census Tract 269, Bronx County, New York",1393,54,177,70,1216,92
1400000US36005027300,36005027300,"Census Tract 273, Bronx County, New York",2676,120,234,90,2442,146
1400000US36005027401,36005027401,"Census Tract 274.01, Bronx County, New York",1704,99,1128,128,576,146
1400000US36005027402,36005027402,"Census Tract 274.02, Bronx County, New York",1299,70,688,106,611,124
1400000US36005027600,36005027600,"Census Tract 276, Bronx County, New York",16,8,12,8,4,6
1400000US36005027700,36005027700,"Census Tract 277, Bronx County, New York",1708,87,244,87,1464,102
1400000US36005027900,36005027900,"Census Tract 279, Bronx County, New York",2565,185,766,174,1799,237
1400000US36005028100,36005028100,"Census Tract 281, Bronx County, New York",1685,70,1001,137,684,127
1400000US36005028300,36005028300,"Census Tract 283, Bronx County, New York",1321,77,102,65,1219,97
1400000US36005028400,36005028400,"Census Tract 284, Bronx County, New York",33,24,15,10,18,22
1400000US36005028500,36005028500,"Census Tract 285, Bronx County, New York",1539,78,286,78,1253,106
1400000US36005028600,36005028600,"Census Tract 286, Bronx County, New York",436,61,173,43,263,61
1400000US36005028700,36005028700,"Census Tract 287, Bronx County, New York",1127,97,193,83,934,97
1400000US36005028800,36005028800,"Census Tract 288, Bronx County, New York",1132,61,674,122,458,114
1400000US36005028900,36005028900,"Census Tract 289, Bronx County, New York",1841,72,232,88,1609,113
